     13 the	hospital
      9 at	the
      9 Sun	Times
      8 to	the
      8 ProPublica	Illinois
      7 the	agency
      5 of	the
      5 Chicago	Sun
      4 the	ACLU
      4 have	been
      4 children	who
      4 Submit	Log
      4 Chicago	Lakeshore
      3 the	review
      3 that	the
      3 stop	sending
      3 should	be
      3 said	it
      3 on	the
      3 of	children
      3 of	Lakeshore
      3 investigation	of
      3 independent	investigation
      3 in	the
      3 in	its
      3 in	a
      3 he	said
      3 from	the
      3 children	in
      3 care	to
      3 and	the
      3 abuse	and
      3 ____________________________________________________________	____________________________________________________________
      3 Times	logo
      3 That	s
      3 Terms	of
      3 Lakeshore	and
      3 Lakeshore	Hospital
      3 Duaa	Eldeib
      3 Death	Notices
      3 DCFS	to
      3 DCFS	has
      3 9	2019
      2 year	old
      2 wrote	in
      2 who	reported
      2 who	has
      2 wants	to
      2 want	to
      2 unlimited	digital
      2 to	stop
      2 to	evaluate
      2 to	court
      2 to	conduct
      2 to	a
      2 they	will
      2 they	were
      2 the	safety
      2 the	response
      2 the	children
      2 the	Illinois
      2 systemic	issues
      2 state	s
      2 sexually	abused
      2 sexual	abuse
      2 sending	children
      2 see	a
      2 said	the
      2 said	in
      2 said	DCFS
      2 safety	and
      2 s	not
      2 review	would
      2 review	of
      2 review	I
      2 response	to
      2 one	month
      2 of	Sale
      2 more	from
      2 month	for
      2 its	care
      2 isn	t
      2 in	our
      2 hospital	and
      2 going	to
      2 full	independent
      2 from	ProPublica
      2 for	unlimited
      2 for	the
      2 for	children
      2 for	1
      2 don	t
      2 digital	access
      2 conduct	a
      2 click	here
      2 children	have
      2 children	at
      2 child	welfare
      2 by	the
      2 asking	for
      2 and	neglect
      2 and	its
      2 an	independent
      2 allegations	of
      2 agency	s
      2 according	to
      2 access	Try
      2 a	statement
      2 Yohnka	said
      2 WordPress	com
      2 Weekly	Order
      2 Wednesday	January
      2 We	Love
      2 Us	Contact
      2 Try	one
      2 Times	Careers
      2 The	ACLU
      2 TV	Weekly
      2 Subscribe	for
      2 Steve	Greenberg
      2 Sports	Politics
      2 Search	Archives
      2 Rick	Telander
      2 Rick	Morrissey
      2 Richard	Roeper
      2 Real	Estate
      2 Paper	Finder
      2 Our	Ads
      2 Order	Photos
      2 Order	Back
      2 North	Side
      2 Newsroom	Internships
      2 Nation	World
      2 Log	Out
      2 Log	In
      2 Licensing	Order
      2 January	9
      2 Issues	NIE
      2 In	Submit
      2 Illinois	click
      2 Illinois	The
      2 Illinois	Department
      2 I	want
      2 I	don
      2 Hospital	in
      2 Home	Food
      2 Home	Delivery
      2 For	more
      2 Food	We
      2 Finder	TV
      2 Eldeib	ProPublica
      2 Department	of
      2 DCFS	said
      2 Contact	Us
      2 Classifieds	Real
      2 Back	Issues
      2 Autos	Death
      2 Archives	Licensing
      2 About	Us
      2 About	Our
      2 2019	21
      1 you	that
      1 you	should
      1 you	anything
      1 year	is
      1 www	googletagmanager
      1 wrote	should
      1 writing	I
      1 would	not
      1 would	find
      1 would	examine
      1 would	cooperate
      1 would	conduct
      1 would	be
      1 works	to
      1 work	with
      1 with	the
      1 with	any
      1 with	Us
      1 will	work
      1 will	make
      1 will	cut
      1 will	be
      1 who	would
      1 who	receive
      1 who	have
      1 who	first
      1 who	appointed
      1 who	alleged
      1 which	monitors
      1 which	is
      1 which	DCFS
      1 whether	those
      1 where	they
      1 where	children
      1 when	they
      1 what	you
      1 what	they
      1 what	is
      1 what	I
      1 what	DCFS
      1 were	sexually
      1 were	placed
      1 were	not
      1 were	done
      1 wellbeing	of
      1 well	as
      1 welfare	and
      1 welfare	agency
      1 week	if
      1 we	at
      1 was	that
      1 was	taking
      1 was	missed
      1 was	insufficient
      1 was	confident
      1 was	asking
      1 wanted	a
      1 want	one
      1 visits	at
      1 violations	related
      1 view	She
      1 video	available
      1 ve	offered
      1 various	agencies
      1 vacuum	Duaa
      1 use	of
      1 use	Privacy
      1 urgent	attention
      1 urged	DCFS
      1 up	a
      1 until	the
      1 undertake	the
      1 unannounced	visits
      1 unacceptable	in
      1 two	finalists
      1 treatment	Those
      1 top	priority
      1 too	wants
      1 told	the
      1 to	undertake
      1 to	take
      1 to	support
      1 to	select
      1 to	see
      1 to	respond
      1 to	records
      1 to	provide
      1 to	patients
      1 to	make
      1 to	limit
      1 to	investigate
      1 to	immediately
      1 to	guarantee
      1 to	go
      1 to	ensure
      1 to	correct
      1 to	close
      1 to	believe
      1 to	all
      1 to	accomplish
      1 to	Yohnka
      1 to	Walker
      1 to	Uptown
      1 to	Morrison
      1 to	Chicago
      1 to	Cancel
      1 timeline	of
      1 threatened	to
      1 those	cases
      1 thorough	review
      1 this	seriously
      1 this	not
      1 this	isn
      1 this	investigation
      1 third	party
      1 think	that
      1 they	wrote
      1 they	ve
      1 they	re
      1 they	need
      1 there	because
      1 there	are
      1 therapeutic	environment
      1 them	a
      1 the	table
      1 the	systemic
      1 the	situation
      1 the	same
      1 the	protection
      1 the	problem
      1 the	month
      1 the	letter
      1 the	issue
      1 the	investigation
      1 the	immigrant
      1 the	highest
      1 the	future
      1 the	full
      1 the	facility
      1 the	expert
      1 the	end
      1 the	director
      1 the	complaints
      1 the	cases
      1 the	allegations
      1 the	Uptown
      1 the	Sun
      1 the	Story
      1 the	R
      1 the	Freedom
      1 the	Editor
      1 the	American
      1 the	16
      1 that	were
      1 that	we
      1 that	this
      1 that	s
      1 that	it
      1 that	if
      1 that	have
      1 that	found
      1 that	an
      1 that	a
      1 tell	you
      1 taking	this
      1 taking	steps
      1 take	the
      1 take	DCFS
      1 table	said
      1 t	think
      1 t	tell
      1 t	know
      1 t	backing
      1 t	a
      1 systemic	problems
      1 sure	nothing
      1 support	four
      1 supervision	and
      1 sufficient	evidence
      1 substantiated	Some
      1 subscriber	__________________________________________________________________
      1 submitting	reports
      1 sticking	point
      1 steps	in
      1 statement	will
      1 statement	So
      1 state	lawmakers
      1 standards	State
      1 spokeswoman	said
      1 spokesman	Ed
      1 someone	who
      1 situation	at
      1 since	January
      1 similar	demand
      1 shut	out
      1 should	include
      1 should	have
      1 should	develop
      1 she	wrote
      1 she	wants
      1 she	said
      1 sex	abuse
      1 seven	allegations
      1 setting	up
      1 seriously	but
      1 seriously	and
      1 separated	from
      1 sent	to
      1 sent	a
      1 sending	kids
      1 select	the
      1 seek	the
      1 security	camera
      1 say	that
      1 satisfactorily	In
      1 same	employee
      1 sake	of
      1 said	would
      1 said	she
      1 said	of
      1 said	not
      1 said	he
      1 said	Yohnka
      1 said	They
      1 said	The
      1 said	Lakeshore
      1 said	Friday
      1 safety	What
      1 safe	and
      1 safe	a
      1 s	what
      1 s	review
      1 s	response
      1 s	request
      1 s	repeated
      1 s	quit
      1 s	independent
      1 s	children
      1 s	child
      1 s	acting
      1 s	a
      1 s	E
      1 reviewing	investigations
      1 reviewer	they
      1 reviewer	should
      1 review	they
      1 review	she
      1 review	said
      1 review	That
