     17 Jan	8
     17 8	2019
     15 Church	in
     13 New	York
     12 sexual	abuse
     12 in	the
     11 Jan	9
     11 9	2019
     10 Catholic	News
      8 accused	of
      8 John	Jenik
      7 to	multilateralism
      7 to	deepen
      7 their	faith
      7 stage	applaud
      7 s	paean
      7 s	attacks
      7 pope	s
      7 paean	to
      7 opposition	leader
      7 opportunity	to
      7 on	global
      7 on	Church
      7 of	the
      7 of	New
      7 leader	calls
      7 global	stage
      7 faith	at
      7 embrace	opportunity
      7 deepen	their
      7 calls	Pres
      7 attacks	on
      7 at	SEEK2019
      7 applaud	pope
      7 adults	embrace
      7 actors	on
      7 Youth	Day
      7 Young	adults
      7 World	Youth
      7 Small	actors
      7 Pres	Duterte
      7 Philippine	opposition
      7 Duterte	s
      7 Church	sickening
      7 Bishop	John
      6 use	of
      6 urges	Catholics
      6 to	host
      6 to	ditch
      6 the	US
      6 pope	says
      6 plastic	bags
      6 pilgrims	in
      6 of	sexual
      6 of	plastic
      6 in	Panama
      6 host	World
      6 ditch	use
      6 archbishop	urges
      6 alleged	victim
      6 Synagogue	to
      6 Indonesian	archbishop
      6 Day	pilgrims
      6 Catholics	to
      5 s	Bishop
      5 he	said
      5 auxiliary	bishop
      5 Single	Post
      5 Post	Template
      5 News	Service
      5 News	Agency
      4 with	the
      4 turning	away
      4 third	allegation
      4 the	South
      4 someone	in
      4 retired	bishop
      4 religious	freedom
      4 pilot	bishop
      4 of	child
      4 never	turning
      4 need	pope
      4 means	never
      4 leveled	against
      4 in	need
      4 in	Asia
      4 if	Turkey
      4 from	someone
      4 freedom	if
      4 finds	credible
      4 enters	Syria
      4 diocese	finds
      4 credible	third
      4 concerned	about
      4 child	abuse
      4 by	retired
      4 bishop	of
      4 bishop	accused
      4 away	from
      4 allegations	leveled
      4 allegation	of
      4 against	Cardinal
      4 abuse	by
      4 abuse	allegations
      4 abuse	New
      4 about	religious
      4 York	auxiliary
      4 Turkey	enters
      4 The	pilot
      4 South	Pacific
      4 New	sexual
      4 Love	means
      4 L	Allen
      4 John	L
      4 Christopher	White
      4 Christians	concerned
      4 Cheyenne	diocese
      4 Cardinal	McCarrick
      4 Asia	Oceania
      4 Archdiocese	of
      4 Allen	Jr
      4 2019	Single
