     37 LEX	18
     16 With	Lee
     16 Live	With
     14 and	Delays
     14 Closings	and
     10 With	Us
     10 Fitness	Counts
     10 Covering	Kentucky
     10 Contact	Us
     10 Advertise	With
     10 18	Apps
      9 the	Nation
      9 of	the
      9 Covering	the
      8 the	Week
      8 the	Day
      8 s	Weather
      8 s	Views
      8 s	Open
      8 s	On
      8 of	Events
      8 of	Change
      8 and	Forecast
      8 a	Difference
      8 _	LEX
      8 Your	World
      8 What	s
      8 Weather	Bug
      8 Weather	101
      8 Watch	Live
      8 Views	Community
      8 Vaught	s
      8 Us	Closed
      8 Us	Advertise
      8 True	Blue
      8 Teacher	Extra
      8 StormTracker	Blog
      8 Sports	Vaught
      8 Sports	True
      8 Salvation	Army
      8 Radars	and
      8 Photo	Galleries
      8 Pet	Of
      8 Open	Mic
      8 On	LEX
      8 Off	Dining
      8 Of	the
      8 News	Team
      8 News	Closings
      8 Nation	Covering
      8 Mic	Live
      8 MaxTrack	Doppler
      8 Making	a
      8 Lee	s
      8 Lee	Live
      8 Lee	Hayley
      8 Latest	Videos
      8 Latest	Sports
      8 Latest	Interactives
      8 Latest	From
      8 Kentucky	Covering
      8 Health	Watch
      8 Health	Break
      8 Half	Off
      8 Game	of
      8 From	CNN
      8 Extra	Credit
      8 Entertainment	News
      8 Discover	Kentucky
      8 Digital	Conversations
      8 Crime	Stoppers
      8 Covering	Your
      8 Contests	Discover
      8 Closed	Captioning
      8 Champions	of
      8 Calendar	of
      8 Bug	Cams
      8 Break	Half
      8 Blue	Sports
      8 Bill	s
      8 Army	Teacher
      7 Heather	s
      6 World	Crime
      6 Week	Latest
      6 WeatherCall	Sports
      6 Weather	Closings
      6 Watch	Watch
      6 Watch	Latest
      6 Videos	Photo
      6 Team	Contact
      6 Stoppers	Entertainment
      6 SportsZone	Game
      6 Sports	HS
      6 Sponsored	Watch
      6 News	Health
      6 Live	Latest
      6 LEX18	com
      6 Kentucky	Fitness
      6 Interactives	Lee
      6 Hayley	Pet
      6 HS	SportsZone
      6 Galleries	What
      6 Forecast	Bill
      6 Featured	Bluegrass
      6 Events	Contests
      6 Doppler	StormTracker
      6 Dining	Featured
      6 Difference	Calendar
      6 Delays	MaxTrack
      6 Delays	Covering
      6 Day	About
      6 Credit	Champions
      6 Counts	Salvation
      6 Conversations	Latest
      6 Community	Making
      6 Change	Health
      6 Captioning	LEX
      6 Cams	WeatherCall
      6 CNN	Weather
      6 Businesses	Sponsored
      6 Bluegrass	Businesses
      6 Blog	Radars
      6 Apps	News
      6 About	News
      6 18	Digital
      6 101	Weather
      5 Submit	Submit
      4 s	biological
      4 Woman	Gave
      4 Wednesday	In
      4 Wall	Debate
      4 Us	LEX
      4 Trump	Relies
      4 To	Boy
      4 To	Be
      4 The	Latest
      4 School	Safety
      4 Safety	Bill
      4 Relies	On
      4 On	Fear
      4 News	Headlines
      4 Malice	In
      4 Legislative	Session
      4 Latest	Comatose
      4 Introduced	Wednesday
      4 In	Wall
      4 In	Legislative
      4 Headlines	_
      4 Gave	Birth
      4 Fear	Malice
      4 Democrats	Trump
      4 Comatose	Woman
      4 Boy	Attorney
      4 Birth	To
      4 Bill	To
      4 Be	Introduced
      4 Attorney	Says
      4 18	News
      3 the	trust
      3 the	most
      3 that	Heather
      3 is	the
      3 her	stepmother
      3 biological	mother
      3 Lexington	KY
      3 January	9
      3 Don	Meredith
      3 Bridgett	Howard
      3 9	2019
      2 years	and
      2 with	us
      2 us	Current
      2 trust	to
      2 took	over
      2 to	stay
      2 to	cover
      2 to	a
      2 through	mobile
      2 the	necessary
      2 the	leading
      2 the	Stewart
      2 that	her
      2 technologies	P
      2 s	needs
      2 provider	in
      2 over	guardianship
      2 openings	at
      2 online	and
      2 on	air
      2 offers	the
      2 of	her
      2 of	abuse
      2 newsletters	Email
      2 news	and
      2 necessary	expenses
      2 navigation	News
      2 most	compelling
      2 mobile	technologies
      2 leading	news
      2 job	openings
      2 it	is
      2 information	provider
      2 in	Central
      2 her	trust
      2 guardianship	and
      2 for	____________________
      2 email	newsletters
      2 coverage	on
      2 cover	the
      2 comprehensive	coverage
