     14 January	2019
      8 09	January
      6 06	January
      5 year	old
      5 of	the
      5 INS	INS
      5 2019	PNS
      4 apologises	for
      4 PNS	Bhubaneswar
      3 uncle	in
      3 to	the
      3 to	a
      3 the	victim
      3 the	girl
      3 said	the
      3 raped	by
      3 police	official
      3 old	girl
      3 in	the
      3 in	Shakarpur
      3 her	parents
      3 for	the
      3 ____________________	Submit
      3 State	Editions
      3 Staff	Reporter
      3 INS	Home
      3 Delhi	Bhopal
      3 Bhopal	Bhubaneswar
      3 10	year
      2 with	early
      2 with	Viola
      2 with	China
      2 well	says
      2 want	to
      2 very	well
      2 tweets	again
      2 trailer	of
      2 trade	talks
      2 to	school
      2 to	lay
      2 to	host
      2 to	her
      2 to	helm
      2 the	police
      2 the	day
      2 talks	overshadowed
      2 t	want
      2 stage	cancer
      2 senior	police
      2 says	Trump
      2 s	____________________
      2 s	Tim
      2 probe	discovers
      2 plant	outside
      2 pay	bump
      2 overshadowed	by
      2 outside	US
      2 on	Twitter
      2 on	TV
      2 on	Narendra
      2 of	first
      2 of	The
      2 new	planet
      2 more	trade
      2 magazine	Cover
      2 load	gif
      2 lit	at
      2 lay	foundation
      2 in	China
      2 in	2018
      2 host	Oscar
      2 homophobic	tweets
      2 hold	more
      2 helm	a
      2 green	lit
      2 got	big
      2 going	very
      2 girl	raped
      2 girl	had
      2 foundation	of
      2 for	homophobic
      2 for	comments
      2 first	Tesla
      2 early	stage
      2 drum	around
      2 doesn	t
      2 discovers	new
      2 diagnosed	with
      2 comments	on
      2 by	uncle
      2 by	her
      2 by	Kim
      2 bump	in
      2 biopic	with
      2 biopic	on
      2 big	pay
      2 beat	drum
      2 banning	trailer
      2 backlash	Pandya
      2 at	Amazon
      2 around	Chhetri
      2 allegedly	raped
      2 against	banning
      2 again	Rock
      2 a	biopic
      2 ____________________	Your
      2 West	Bengal
      2 Wednesday	09
      2 Vivacity	Health
      2 Viola	Davis
      2 US	China
      2 Twitter	beat
      2 Twitter	Instagram
      2 Travel	Show
      2 Time	BackPack
      2 Tim	Cook
      2 The	girl
      2 The	Sunday
      2 The	Accidental
      2 Tesla	plant
      2 Talks	with
      2 TV	show
      2 Sunday	magazine
      2 Story	Books
      2 Special	Avenues
      2 Show	Time
      2 Shirley	Chisholm
      2 Shakarpur	Monday
      2 Sender	s
      2 Roshan	diagnosed
      2 Rock	doesn
      2 Reporter	NEW
      2 Ranchi	Lucknow
      2 Rakesh	Roshan
      2 Proud	to
      2 Prime	Minister
      2 Plea	against
      2 Pioneer	Wednesday
      2 Pandya	apologises
      2 Omung	Kumar
      2 November	2018
      2 Narendra	Modi
      2 NEW	DELHI
      2 NASA	probe
      2 Musk	in
      2 Monday	05
      2 Modi	Omung
      2 Minister	rejected
      2 Lucknow	Chandigarh
      2 Kim	visit
      2 Instagram	Deal
      2 Health	Travel
      2 Hart	apologises
      2 Filmmaker	Rakesh
      2 Features	Vivacity
      2 Fans	on
      2 Facebook	Twitter
      2 Editions	Delhi
      2 Edition	Delhi
      2 Dehradun	Raipur
      2 Deal	of
      2 Davis	green
      2 Daily	Pioneer
      2 Cover	Story
      2 Cook	got
      2 Chisholm	biopic
      2 China	to
      2 China	hold
      2 China	going
      2 Chandigarh	Dehradun
      2 Books	Tarot
      2 Bhubaneswar	Ranchi
      2 BackPack	Special
      2 Avenues	Agenda
      2 Apple	s
      2 Agenda	The
      2 After	backlash
      2 According	to
      2 Accidental	Prime
      2 2019	Facebook
      2 2018	Staff
      2 05	November
      1 your	friend
      1 year	of
      1 year	06
      1 work	as
      1 with	us
      1 with	her
      1 wise	in
      1 whom	he
      1 which	was
      1 which	the
      1 where	her
      1 weddings	06
      1 we	are
      1 was	reported
      1 was	hired
      1 was	arrested
      1 was	allegedly
      1 was	across
      1 waiting	for
      1 visit	US
      1 visit	Hart
      1 victim	work
      1 victim	was
      1 victim	s
      1 vaccination	campaign
      1 us	each
      1 us	Archives
      1 uncle	allegedly
      1 two	three
      1 trying	to
      1 trace	him
      1 top	png
      1 to	trace
      1 to	sources
      1 to	drop
