     79 Source	AP
     10 Source	WSOC
      8 WSOC	TV
      8 Media	Group
      8 Cox	Media
      7 to	the
      7 Weather	Central
      7 Source	Weather
      7 High	School
      5 in	alleged
      5 filed	in
      5 Park	High
      5 Myers	Park
      5 Channel	9
      4 your	email
      4 with	car
      4 taking	out
      4 she	was
      4 power	pole
      4 police	chase
      4 pole	in
      4 out	power
      4 in	Charlotte
      4 her	to
      4 ends	with
      4 chase	ends
      4 car	taking
      4 alleged	Myers
      4 What	s
      4 The	Latest
      4 TV	Public
      4 South	Carolina
      4 Source	Cox
      4 School	rape
      4 Q	W
      4 Public	File
      4 Pineville	police
      4 Lawsuit	filed
      4 According	to
      3 wsoctv	com
      3 with	Mark
      3 the	two
      3 the	lawsuit
      3 the	girl
      3 sits	down
      3 one	on
      3 one	interview
      3 on	one
      3 on	her
      3 link	to
      3 in	one
      3 down	with
      3 by	school
      3 and	he
      3 Wind	Advisory
      3 Warning	Source
      3 WAXN	TV
      3 Sign	in
      3 Sign	Up
      3 Sign	In
      3 Privacy	Policy
      3 Mark	Harris
      3 Kim	Jong
      3 Jong	Un
      3 I	m
      3 Harris	in
      3 Advisory	Source
      3 AP	The
      3 9	sits
      2 your	profile
      2 your	password
      2 you	for
      2 woman	in
      2 woman	Source
      2 winter	storm
      2 west	Charlotte
      2 were	found
      2 vuelve	a
      2 victim	suspect
      2 userInformationForm	traditionalSignIn_emailAddress
      2 traditionalSignIn_signInButton	userInformationForm
      2 traditionalSignIn_emailAddress	traditionalSignIn_password
      2 traditionalSignIn_emailAddress	submitButton
      2 told	the
      2 to	receive
      2 to	be
      2 the	woods
      2 the	suit
      2 the	complaint
      2 suspect	dropped
      2 submitButton	resendVerificationForm
      2 storm	gone
      2 sign	in
      2 shooting	in
      2 settlement	in
      2 send	you
      2 seen	alive
      2 school	bus
      2 say	Source
      2 s	on
      2 s	father
      2 s	carbon
      2 s	On
      2 resendVerificationForm	traditionalSignIn_emailAddress
      2 remains	were
      2 registering	We
      2 reaches	100K
      2 poisoning	death
      2 off	by
      2 of	winter
      2 of	the
      2 not	seen
      2 months	before
      2 monoxide	poisoning
      2 mala	racha
      2 m	being
      2 ll	send
      2 leaves	concern
      2 la	NBA
      2 in	west
      2 in	using
      2 in	to
      2 in	boy
      2 in	alley
      2 hotel	Source
      2 him	Source
      2 her	parents
      2 have	sent
      2 gone	leaves
      2 girl	s
      2 from	her
      2 frenan	mala
      2 found	dead
      2 for	registering
      2 for	months
      2 for	black
      2 en	su
      2 email	resendVerificationForm
      2 email	address
      2 dropped	off
      2 death	at
      2 dead	in
      2 de	la
      2 concern	for
      2 carbon	monoxide
      2 campus	and
      2 bus	before
      2 boy	s
      2 black	ice
      2 before	shooting
      2 before	remains
      2 beats	No
      2 at	the
      2 at	Boone
      2 another	account
      2 and	the
      2 and	Privacy
      2 alley	not
      2 alive	for
      2 account	Sign
      2 according	to
      2 a	link
      2 Worst	of
      2 World	News
      2 Wind	Warning
      2 We	have
      2 WSOC	Charlotte
      2 WSOC	Australia
      2 Visitor	Agreement
      2 Use	another
      2 Up	Sign
      2 Traffic	Cameras
      2 Toddler	found
      2 Thank	you
      2 TV	What
      2 TV	Weather
      2 TV	EEOC
      2 TRACKING	Worst
      2 State	reaches
      2 School	Football
      2 Saudi	woman
      2 SIGN	IN
      2 Resend	Email
      2 Program	Director
      2 Police	Toddler
      2 North	Carolina
      2 National	World
      2 NBA	Source
      2 N	Carolina
      2 Leak	and
      2 In	Welcome
      2 Hornets	128
      2 High	Wind
      2 Ghosn	s
      2 Ghosn	Source
      2 File	Contact
      2 Email	Verification
      2 EEOC	Statement
      2 Contact	Program
      2 Closed	Captioning
      2 Charlotte	Source
      2 Charlotte	Mecklenburg
      2 CMPD	Both
      2 Breaking	News
      2 Both	victim
      2 Boone	hotel
      2 Beijing	Source
      2 About	Us
      2 AP	Wind
      2 AP	Vistazo
      2 AP	State
      2 AP	South
      2 AP	Saunders
      2 AP	Israel
      2 AP	Clippers
      2 82	in
      2 2019	Cox
      2 128	109
      2 100K	settlement
      1 zip	code
      1 your	wsoc
      1 your	specific
      1 your	registration
      1 your	options
      1 your	account
      1 you	were
      1 you	on
      1 you	like
      1 you	another
      1 you	an
      1 you	agree
      1 you	account
      1 you	accept
      1 you	a
      1 years	Source
      1 year	of
      1 y	serán
      1 y	parientes
      1 y	frenan
      1 y	China
      1 www	wsoctv
      1 wsoc	profile
      1 wrap	up
      1 would	be
      1 worry	over
      1 worry	it
      1 workers	clash
      1 woods	next
      1 woods	The
      1 woman	behind
      1 woman	attacks
      1 within	the
      1 with	student
      1 with	mobile
      1 with	loginWidget
      1 with	concealed
      1 with	a
      1 with	Trump
      1 with	Tesla
      1 with	Solskjaer
      1 with	Russians
      1 with	Charlotte
      1 wins	1st
      1 will	be
      1 wife	abducted
      1 who	slandered
      1 which	she
      1 where	she
      1 when	according
      1 wheel	Source
      1 were	visiting
      1 were	told
      1 were	spotted
      1 were	getting
      1 were	broken
      1 went	to
      1 welcomeName	loginWidget
      1 website	you
      1 website	frequently
      1 website	Leak
      1 weather	special
      1 we	may
      1 we	ll
      1 we	could
      1 we	asking
      1 was	walking
      1 was	taken
      1 was	skipping
      1 was	sexually
      1 was	semen
      1 was	pressuring
      1 was	possibly
      1 was	in
      1 was	going
      1 was	done
      1 wall	debate
      1 wall	Source
      1 walking	with
      1 vs	Timberwolves
      1 vote	results
      1 visiting	Reset
      1 visita	Irak
      1 visit	Source
      1 viral	harassment
      1 violent	crime
      1 view	of
      1 video	Source
      1 video	Lawsuit
      1 via	train
      1 vez	al
      1 verifying	your
      1 verify	that
      1 verification	link
      1 verification	email
      1 verdad	justicia
      1 verbal	protest
      1 vegetative	state
      1 varados	desembarcarán
      1 using	your
      1 using	you
      1 using	this
      1 using	misinformation
      1 userInformationForm	Use
      1 userInformationForm	OR
      1 us	and
      1 url	https
      1 update	your
      1 update	Source
      1 up	to
      1 up	talks
      1 up	Recalls
      1 unveils	new
      1 until	government
      1 unit	arrests
      1 unidentified	girl
      1 unemployment	falls
      1 understanding	reached
      1 understand	your
      1 under	Trump
      1 under	Title
      1 unannounced	Iraq
      1 unable	to
      1 two	were
      1 two	students
      1 two	leave
      1 turns	down
      1 triunfo	115
      1 trip	Pompeo
      1 tried	contacting
      1 trending	stories
      1 tren	tras
      1 tras	2
      1 transgender	woman
      1 trans	Atlantic
      1 train	departs
      1 train	after
      1 traffic	squeeze
      1 traditionalSignIn_signInButton	tradAuthenticateMergeForm
      1 traditionalSignIn_password	traditionalSignIn_signInButton
      1 traditionalSignIn_password	_
      1 traditionalSignIn_emailAddress	mergePassword
      1 traditionalRegistration_passwordConfirm	traditionalRegistration_displayName
      1 traditionalRegistration_password	traditionalRegistration_passwordConfirm
      1 traditionalRegistration_emailAddress	traditionalRegistration_password
      1 traditionalRegistration_displayName	registration_firstName
      1 trade	talks
      1 trade	breakthrough
      1 tradAuthenticateMergeForm	traditionalSignIn_emailAddress
      1 tradAuthenticateMergeForm	Thanks
      1 toward	the
      1 tour	return
      1 torturados	en
      1 top	trending
      1 top	Thunder
      1 took	her
      1 took	a
      1 told	to
      1 together	When
      1 to	your
      1 to	within
      1 to	update
      1 to	take
      1 to	skip
      1 to	sit
      1 to	seeing
      1 to	return
      1 to	release
      1 to	provide
      1 to	our
      1 to	look
      1 to	leave
      1 to	lack
      1 to	investigate
      1 to	hogs
      1 to	decade
      1 to	date
      1 to	data_emailAddress
      1 to	create
      1 to	court
      1 to	complete
      1 to	classmates
      1 to	change
      1 to	campus
      1 to	avoid
      1 to	activate
      1 to	US
      1 to	Parliament
      1 to	Outback
      1 to	Doe
      1 to	British
      1 time	at
      1 time	Anthony
      1 tight	as
      1 threatened	him
      1 those	frantic
      1 this	website
      1 this	We
      1 they	were
      1 they	had
      1 they	are
      1 these	distraught
      1 there	was
      1 theme	css
      1 the	wheel
      1 the	time
      1 the	text
      1 the	terms
      1 the	subject
      1 the	school
      1 the	patrol
      1 the	page
      1 the	officer
      1 the	nearly
      1 the	link
      1 the	latest
      1 the	judicial
      1 the	information
      1 the	hospital
      1 the	defendants
      1 the	city
      1 the	assistant
      1 the	Jewish
      1 the	Charlotte
      1 that	we
      1 that	she
      1 that	killed
      1 that	it
      1 that	he
      1 that	happened
      1 that	email
      1 texts	but
      1 texts	Shortly
      1 textiles	de
      1 text	messages
      1 terms	of
      1 temps	Source
      1 tells	police
      1 teachers	are
      1 tariff	battle
      1 talks	on
      1 talks	end
      1 taken	out
      1 take	her
      1 t	worry
      1 t	release
      1 system	Officials
      1 sworn	into
      1 suspected	migrant
      1 suspect	in
      1 suit	states
      1 suit	claims
      1 suit	both
      1 suit	an
      1 suicide	2019
      1 sues	city
      1 submitting	your
      1 submit	to
      1 subject	of
      1 su	gira
      1 su	estadio
      1 stuns	No
      1 students	were
      1 students	outside
      1 student	sent
      1 student	Q
      1 strike	in
      1 strike	by
      1 stretcher	vs
      1 stranded	migrants
      1 straight	time
      1 stories	on
      1 stop	Source
      1 station	is
      1 states	Q
      1 states	Leak
      1 statement	from
      1 stated	they
      1 stated	Her
      1 state	outraged
      1 started	sending
      1 staff	at
      1 squeezed	Doe
      1 squeeze	Source
      1 spotted	by
      1 specific	geographic
      1 special	offers
      1 sorpresa	en
      1 sopesa	verdad
      1 somebody	Those
      1 some	of
      1 socialRegistration_signInButton	socialRegistrationForm
      1 socialRegistration_emailAddress	Indicates
      1 socialRegistration_displayName	socialRegistration_emailAddress
      1 socialRegistrationForm	socialRegistration_displayName
      1 socialRegistrationForm	REGISTER
      1 sobre	guerra
      1 sobre	datos
      1 sobre	Kings
      1 so	that
      1 smugglers	Source
      1 slandered	him
      1 skipping	class
      1 skip	class
      1 sit	in
      1 sin	ganar
      1 sigue	sin
      1 signing	in
      1 sign	falls
      1 shutdown	ends
      1 shoots	kills
      1 shooting	conviction
      1 shocking	dashcam
      1 shirt	According
      1 she	had
      1 she	describes
      1 she	declined
      1 sharing	2016
      1 shares	rally
      1 sexually	assaulted
      1 serán	enviados
      1 serious	I
      1 sent	you
      1 sent	to
      1 sent	a
      1 sent	We
      1 sending	those
      1 semen	on
      1 seizure	of
      1 seeks	to
      1 seeking	allies
      1 seeing	you
      1 security	staff
      1 security	measures
      1 season	clashes
      1 search	for
      1 scrutiny	Source
      1 school	resource
      1 school	rape
      1 school	morning
      1 school	CMPD
      1 scared	Mom
      1 scare	Source
      1 says	understanding
      1 says	it
      1 says	CMPD
      1 saw	the
      1 salarios	Source
      1 said	they
      1 safety	and
      1 s	wife
      1 s	when
      1 s	website
      1 s	view
      1 s	train
      1 s	tour
      1 s	manager
      1 s	award
      1 s	arrest
      1 s	arm
      1 s	appeal
      1 s	a
      1 s	Wednesday
      1 s	Scores
      1 s	Musk
      1 ruling	on
      1 robber	police
      1 rivalry	game
      1 right	near
      1 revitalized	with
      1 reviewed	and
      1 return	to
      1 return	Source
      1 results	Source
      1 responsibility	Source
      1 responded	to
      1 resource	officer
      1 resolve	the
      1 resettlement	for
      1 resendVerificationForm	Your
      1 resendVerificationForm	Resend
      1 required	under
      1 reports	of
      1 released	as
      1 release	new
      1 release	1st
      1 relations	under
      1 related	to
      1 registration_postalZip	By
      1 registration_lastName	registration_birthday
      1 registration_firstName	registration_lastName
      1 registration_birthday	registration_postalZip
      1 registrationForm	traditionalRegistration_emailAddress
      1 registrationForm	Why
      1 registration	information
      1 region	Source
      1 regarding	Ad
      1 refusing	to
      1 refugee	ruling
      1 recurso	a
      1 rechaza	recurso
      1 received	the
      1 receive	the
      1 receive	news
      1 receive	another
      1 rebuts	Vietnam
      1 really	scared
      1 ready	for
      1 reached	on
      1 re	Almost
      1 rapelawsuit_1541191493664_13565686_ver1	0_320_240
      1 raped	by
      1 rape	of
      1 rape	case
      1 rape	back
      1 rape	News
      1 rape	CHARLOTTE
      1 rape	By
      1 rape	2F865294803
      1 rant	video
      1 ransom	demanded
      1 rally	on
      1 racha	en
      1 racha	con
      1 race	for
      1 question	Source
      1 pulled	her
      1 provide	comment
      1 protests	Source
      1 protestan	por
      1 protest	That
      1 profile	receive
      1 profile	Resend
      1 profile	Register
      1 profile	Need
      1 prize	Source
      1 principal	at
      1 pressuring	her
      1 presidential	power
      1 presentar	el
      1 prepares	to
      1 premier	meets
      1 praises	UN
      1 power	Source
      1 postemporada	de
      1 possibly	fed
      1 por	sorpresa
      1 por	salarios
      1 por	Oriente
      1 por	9na
      1 politically	imbalanced
      1 police	search
      1 police	say
      1 police	garment
      1 police	examining
      1 police	chief
      1 police	arrest
      1 police	R
      1 police	Channel
      1 placeholder	16x9
      1 ping	url
      1 permit	shoots
      1 percent	Source
      1 pending	litigation
      1 peace	for
      1 países	Source
      1 paz	sopesa
      1 paying	major
      1 patrol	car
      1 password	traditionalSignIn_signInButton
      1 password	mergeAccounts
      1 password	forgotPasswordForm
      1 password	Don
      1 parties	involved
      1 partido	con
      1 part	of
      1 parliament	lamenting
      1 parlamento	Source
      1 park	high
      1 parientes	torturados
      1 parents	took
      1 parents	the
      1 parents	for
      1 page	you
      1 page	civil
      1 pacto	del
      1 packages	left
      1 owner	Kraft
      1 own	myerspark
      1 over	forced
      1 over	fatal
      1 over	alleged
      1 over	AG
      1 outside	the
      1 outraged	after
      1 out	to
      1 out	Doe
      1 our	Visitor
      1 our	Terms
      1 other	content
      1 orders	seizure
      1 or	resolve
      1 or	pending
      1 options	regarding
      1 one	school
      1 on	wsoctv
      1 on	website
      1 on	the
      1 on	tariff
      1 on	stretcher
      1 on	hopes
      1 on	doping
      1 on	current
      1 on	campus
      1 on	WSOC
      1 on	TV64
      1 on	Saudi
      1 on	49
      1 officials	said
      1 official	seeks
      1 officer	who
      1 officer	sues
      1 officer	she
      1 officer	loses
      1 officer	days
