     10 vous	plaît
     10 il	vous
      9 S	il
      7 de	passe
      7 de	l
      6 plaît	entrer
      6 de	la
      5 valide	____________________
      5 une	adresse
      5 e	mail
      5 adresse	email
      5 a	été
      5 ____________________	S
      4 à	la
      4 à	l
      4 une	centaine
      4 sexuelles	avec
      4 passe	____________________
      4 ont	été
      4 mot	de
      4 entrer	une
      4 email	valide
      4 de	viols
      4 d	un
      4 d	Asiatiques
      4 centaine	d
      4 ____________________	____________________
      4 ____________________	Envoyer
      4 127790	png
      3 âge	de
      3 saisir	deux
      3 relations	sexuelles
      3 qu	à
      3 procès	qu
      3 png	127790
      3 plus	de
      3 n	est
      3 même	mot
      3 moins	une
      3 lors	du
      3 le	même
      3 l	âge
      3 l	Angleterre
      3 fois	le
      3 eu	des
      3 elle	avait
      3 déjà	eu
      3 du	procès
      3 du	13
      3 deux	fois
      3 des	relations
      3 des	commentaires
      3 de	16
      3 d	une
      3 confié	lors
      3 avec	au
      3 avait	déjà
      3 au	moins
      3 ans	elle
      3 adresse	e
      3 a	confié
      3 ____________________________________________________________	____________________________________________________________
      3 ____________________	Veuillez
      3 Votre	adresse
      3 Veuillez	saisir
      3 Submit	Soumettre
      3 Soumettre	Commentaire
      3 Mot	de
      3 29	10
      3 16	ans
      3 13	novembre
      3 10	2018
      2 été	reconnus
      2 été	envoyé
      2 à	des
      2 à	____________________
      2 Économie	Sports
      2 viol	de
      2 victime	du
      2 valable	____________________
      2 une	erreur
      2 une	enquête
      2 un	compte
      2 un	commentaire
      2 téléphone	n
      2 try	again
      2 true	____________________
      2 se	réserve
      2 réserve	le
      2 reconnus	coupables
      2 plaît	noter
      2 passe	Mot
      2 pas	valable
      2 par	e
      2 opération	Stovewood
      2 numéro	de
      2 not	true
      2 nord	de
      2 n	avait
      2 moteurs	de
      2 mail	____________________
      2 mail	Envoyer
      2 le	droit
      2 le	16
      2 la	procureure
      2 la	Charte
      2 l	opération
      2 l	ont
      2 is	not
      2 gang	coupable
      2 gang	a
      2 filles	étaient
      2 et	de
      2 est	pas
      2 envoyé	Tweet
      2 entrer	un
      2 email	a
      2 décisions	de
      2 du	viol
      2 du	gang
      2 diffamatoires	racistes
      2 des	noms
      2 des	lecteurs
      2 des	hommes
      2 des	adolescentes
      2 de	téléphone
      2 de	recherche
      2 de	plus
      2 de	1500
      2 de	1
      2 d	adolescentes
      2 coupable	du
      2 code	is
      2 centaines	d
      2 avec	Facebook
      2 au	nord
      2 ____________________	Votre
      2 ____________________	Submit
      2 ____________________	Ce
      2 Votre	email
      2 Vivre	Auto
      2 Vaud	Régions
      2 Une	victime
      2 Tech	People
      2 Suisse	Monde
      2 Submit	Envoyer
      2 Sports	Savoirs
      2 Savoirs	Culture
      2 SMS	code
      2 Régions	Suisse
      2 Plus	L
      2 Please	try
      2 People	Vivre
      2 Nous	vous
      2 Monde	Économie
      2 Matin	Dimanche
      2 Le	Matin
      2 La	rédaction
      2 High	Tech
      2 Envoyer	à
      2 Envoyer	par
      2 Envoyer	Votre
      2 Culture	High
      2 Comparis	Assurance
      2 Club	24
      2 Ce	numéro
      2 Bons	plans
      2 Auto	Plus
      2 Asiatiques	Une
      2 9	janvier
      2 500	victimes
      2 16	novembre
      2 1500	ados
      2 1	500
      2 0	Envoyer
      1 être	trouvés
      1 être	tombée
      1 être	5
      1 été	écroué
      1 été	violée
      1 été	victimes
      1 été	sauvagement
      1 été	reconnue
      1 été	placés
      1 été	lancée
      1 été	identifiées
      1 été	abusées
      1 étrangères	ou
      1 était	composé
      1 étaient	manipulées
      1 étaient	fascinées
      1 étaient	alcoolisées
      1 épuration	administrative
      1 épouse	d
      1 énoncé	de
      1 ému	l
      1 émis	dans
      1 également	à
      1 éditeurs	ne
      1 éditeur	se
      1 écroué	en
      1 échec	de
      1 âgés	des
      1 âgés	aujourd
      1 à	y
      1 à	un
      1 à	tester
      1 à	réduire
      1 à	leurs
      1 à	jour
      1 à	donner
      1 à	avorter
      1 à	Telford
      1 à	Rotherham
      1 à	Brême
      1 à	14
      1 zoo	tente
      1 youtube	MétéoLausanne
      1 your	comment
      1 y	mettre
      1 y	abandonner
      1 y	a
      1 xénophobes	les
      1 while	transmitting
      1 webdocs	Sorties
      1 was	a
