      7 ses	filles
      6 de	famille
      5 son	père
      5 pour	avoir
      5 de	la
      5 centaines	de
      4 à	la
      4 qu	elle
      4 père	de
      4 de	viol
      4 de	ses
      4 de	centaines
      3 violences	sexuelles
      3 lors	de
      3 filles	des
      3 des	centaines
      3 de	fois
      3 cette	dernière
      3 ans	de
      2 à	son
      2 violé	ses
      2 victimes	de
      2 victime	de
      2 petite	fille
      2 pendant	des
      2 pas	à
      2 partie	civile
      2 parle	de
      2 par	un
      2 par	son
      2 par	Anais
      2 mère	de
      2 les	violences
      2 les	articles
      2 le	viol
      2 le	père
      2 la	partie
      2 la	mère
      2 la	Manche
      2 février	2015
      2 famille	condamné
      2 et	les
      2 et	de
      2 et	ce
      2 des	victimes
      2 des	années
      2 de	viols
      2 de	l
      2 dans	son
      2 dans	la
      2 d	ailleurs
      2 condamné	à
      2 condamné	pour
      2 ces	souvenirs
      2 centaines	et
      2 ce	dernier
      2 avoir	été
      2 avoir	violé
      2 ans	la
      2 alors	qu
      2 Un	père
      2 Tous	les
      2 On	parle
      2 En	effet
      2 Anais	Moine
      1 être	condamné
      1 événement	va
      1 éviter	tout
      1 été	épargnée
      1 été	recensées
      1 été	plus
      1 été	lui
      1 été	agressée
      1 était	détenu
      1 étaient	des
      1 époux	lui
      1 épargnée	par
      1 élection	ne
      1 égocentré	psycho
      1 ça	à
      1 âgée	et
      1 âgée	de
      1 à	vivre
      1 à	tricoter
      1 à	tout
      1 à	sa
      1 à	refouler
      1 à	purger
      1 à	pied
      1 à	peine
      1 à	nos
      1 à	lui
      1 à	l
      1 à	cette
      1 à	certaines
      1 à	ce
      1 à	22
      1 à	15
      1 Ça	buzze
      1 Âgé	de
      1 À	la
      1 À	l
      1 À	Coutances
      1 À	10
      1 www	googletagmanager
      1 vu	Interrogé
      1 vous	à
      1 voir	ajouter
      1 vivre	l
      1 vivre	avec
      1 viols	précise
      1 viols	Aujourd
      1 viole	ses
      1 viol	ou
      1 viol	ont
      1 viol	et
      1 viol	de
      1 viol	d
      1 viol	collectif
      1 viol	ces
      1 vient	de
      1 vient	d
      1 vie	à
      1 vie	en
      1 vidéo	beautiful
      1 victimes	connaissaient
      1 victimes	cette
      1 verdict	hors
      1 vaginales	et
      1 vagin	afin
      1 va	soudainement
      1 va	se
      1 utilise	l
      1 une	troisième
      1 une	peine
      1 une	glace
      1 une	aiguille
