     61 France	Bleu
     32 Toute	la
     27 la	région
     26 de	région
     26 Changer	de
     15 de	la
     10 de	France
      7 la	gare
      7 Val	de
      7 Provence	Alpes
      7 Hauts	de
      7 Côte	d
      6 sur	le
      6 parking	de
      6 le	parking
      6 la	France
      6 et	Loire
      6 Pays	de
      5 Île	de
      5 la	Loire
      5 divers	Justice
      5 de	Loire
      5 d	Azur
      5 au	direct
      5 Rhône	Alpes
      5 Retour	au
      5 Nouvelle	Aquitaine
      5 Grand	Est
      5 Franche	Comté
      5 France	Toute
      5 Faits	divers
      5 Centre	Val
      5 Bourgogne	Franche
      5 Auvergne	Rhône
      5 Alpes	Côte
      4 à	Béziers
      4 région	Corse
      4 et	Garonne
      4 direct	Choisissez
      4 Seine	Maritime
      4 Loire	Toute
      4 Choisissez	votre
      4 Bleu	Pays
      3 votre	station
      3 trois	hommes
      3 station	Retour
      3 ont	été
      3 locale	Retour
      3 gare	de
      3 en	direct
      3 a	été
      3 Une	femme
      3 Radio	France
      3 Justice	Une
      3 France	Changer
      3 Corse	Grand
      3 Bleu	Normandie
      3 Bleu	Hérault
      3 Azur	Toute
      2 été	violée
      2 à	l
      2 Écouter	une
      2 violée	sur
      2 viol	en
      2 une	autre
      2 région	Île
      2 région	Provence
      2 région	Pays
      2 région	Occitanie
      2 région	Nouvelle
      2 région	Normandie
      2 région	Loire
      2 région	Hauts
      2 région	Grand
      2 région	Essonne
      2 région	Côtes
      2 région	Côte
      2 région	Cher
      2 région	Charente
      2 région	Centre
      2 région	Calvados
      2 région	Bretagne
      2 région	Bourgogne
      2 région	Auvergne
      2 région	Ariège
      2 région	Ardennes
      2 région	Alpes
      2 région	Aisne
      2 région	Ain
      2 mercredi	après
      2 le	direct
      2 jeune	femme
      2 hommes	ont
      2 hommes	interpellés
      2 gare	à
      2 femme	violée
      2 femme	de
      2 et	Vilaine
      2 et	Moselle
      2 et	Marne
      2 et	Loir
      2 et	France
      2 et	Cher
      2 en	réunion
      2 début	octobre
      2 du	Sud
      2 du	Rhône
      2 direct	radio
      2 direct	en
      2 de	presse
      2 de	page
      2 de	Seine
      2 de	Marne
      2 de	Haute
      2 de	Dôme
      2 de	Calais
