      6 de	12
      6 Saint	Brieuc
      5 un	garçon
      5 d	avoir
      5 a	été
      5 12	ans
      4 violé	un
      4 soupçonné	d
      4 présenté	au
      4 garçon	de
      4 avoir	violé
      4 au	parquet
      3 être	présenté
      3 été	présenté
      3 à	Saint
      3 les	Côtes
      3 homme	de
      3 de	26
      3 dans	les
      3 d	Armor
      3 ans	samedi
      3 Un	homme
      3 Côtes	d
      3 Brieuc	dans
      3 Armor	a
      3 26	ans
      3 25	août
      2 à	un
      2 un	juge
      2 un	homme
      2 samedi	25
      2 sa	victime
      2 présenté	à
      2 o	Meurtre
      2 non	loin
      2 mise	en
      2 le	28
      2 juge	d
      2 instruction	en
      2 faits	divers
      2 en	vue
      2 en	examen
      2 de	Saint
      2 dans	un
      2 d	un
      2 d	instruction
      2 arrestation	d
      2 août	à
      2 ans	soupçonné
      2 France	Bleu
      2 Faits	divers
      2 28	08
      2 2018	11
      2 11	07
      2 08	2018
      1 être	reconnus
      1 été	placé
      1 été	ouverte
      1 étudiants	en
      1 élève	s
      1 éco	conso
      1 âgé	de
      1 à	vue
      1 à	une
      1 à	jour
      1 à	Marseille
      1 à	Dortmund
      1 à	10
      1 www	francetvinfo
      1 web	animaux
      1 vue	de
      1 vue	d
      1 vue	avant
      1 vu	mon
      1 vrai	ou
      1 volent	jusqu
      1 voisins	du
      1 violer	Interpellé
      1 viole	un
      1 viol	sur
      1 vidéos	radio
      1 victimes	du
      1 victime	un
      1 victime	dans
      1 veulent	être
      1 veulent	ils
      1 une	mise
      1 une	grève
      1 une	aire
      1 un	tir
      1 un	syndicat
      1 un	supermarché
      1 un	squat
      1 un	garcon
      1 témoignages	recueillis
      1 tribunal	de
      1 toutes	les
      1 touché	par
      1 tir	de
      1 terrorisme	Lycéen
      1 tech	web
      1 syndicat	de
      1 suspect	doit
      1 suspect	a
      1 sur	mineur
      1 supermarché	volent
      1 sujets	du
      1 squat	non
      1 squat	de
      1 sports	santé
      1 soupconne	d
      1 son	placement
      1 solidarité	Pourquoi
      1 société	éco
      1 située	non
      1 sec	https
      1 sciences	tech
      1 santé	sciences
      1 samedi	nbsp
      1 samedi	l
      1 saint	brieuc
      1 sa	mise
      1 s	effondrer
      1 requis	son
      1 rencontré	sa
      1 recueillis	par
      1 reconnus	comme
      1 rapporte	France
      1 radio	jt
      1 qui	est
      1 publié	le
      1 provisoire	Il
      1 premiers	témoignages
      1 pour	viol
      1 pour	le
      1 politique	faits
      1 policiers	le
      1 police	appelle
      1 placé	en
      1 placement	en
      1 petite	Maëlys
      1 parquet	lundi
      1 parquet	de
      1 parquet	Un
      1 parquet	GOOGLE
      1 parc	des
      1 par	un
      1 par	solidarité
      1 par	les
      1 par	de
      1 ouverte	Selon
      1 ou	fake
      1 o	Tueries
      1 o	Terrorisme
      1 o	Police
      1 o	Nordahl
      1 o	Naufrages
      1 o	Meurtres
      1 o	Justice
      1 o	Jeux
      1 o	Incendies
      1 o	Explosions
      1 o	Evasions
      1 o	Enlèvements
      1 o	Effondrement
      1 o	Commémorations
      1 o	Bébé
      1 o	Affaires
      1 o	Affaire
      1 o	Adama
      1 o	Accidents
      1 nuits	d
      1 nombreux	enfants
      1 nbsp	à
      1 nbsp	25
      1 météo	vrai
      1 monde	culture
      1 mon	élève
      1 moment	o
      1 moins	de
