     17 this	with
     17 Share	this
     12 し	た
      9 さ	れ
      8 れ	た
      6 性的	暴行
      6 た	韓国
      6 た	と
      5 韓国	の
      5 に	は
      5 て	いる
      5 て	い
      5 し	て
      5 1980	年
      4 頭	を
      4 被害	者
      4 者	の
      4 相	は
      4 氏	は
      4 抗議	運動
      4 年	に
      4 国防	相
      4 光州	事件
      4 光州	で
      4 サイト	の
      4 を	下げ
      4 れ	て
      4 は	7
      4 い	た
      4 7	日
      4 5	月
      3 韓国	政府
      3 鄭	景
      3 部	の
      3 軍	の
      3 軍	が
      3 記者	会見
      3 景	斗
      3 斗	チョン
      3 抗議	者
      3 戒厳	令
      3 外部	リンク
      3 南西	部
      3 会見	で
      3 人	が
      3 下げ	た
      3 チョン	ギョンドゥ
      3 ギョンドゥ	国防
      3 を	受け
      3 の	鄭
      3 の	光州
      3 の	使い方
      3 なっ	た
      3 た	抗議
      3 with	Twitter
      3 with	Messenger
      3 with	Facebook
      3 Messenger	Share
      3 Facebook	Share
      2 非	武装
      2 際	兵士
      2 開き	ます
      2 述べ	た
      2 起き	た
      2 謝罪	し
      2 調査	が
      2 読み物	解説
      2 記事	を
      2 言葉	に
      2 解説	ビデオ
      2 者	に
      2 確認	し
      2 痛み	を
      2 疑わ	れ
      2 無実	の
      2 武装	地帯
      2 暴行	を
      2 日	の
      2 新しい	ウィンドウ
      2 政府	は
      2 布告	し
      2 女性	の
      2 国民	に対し
      2 同国	南西
      2 動員	さ
      2 内	を
      2 兵士	ら
      2 共有	について
      2 共有	する
      2 働い	た
      2 使い方	ジャンル
      2 令	を
      2 万	人
      2 ワールド	ニュース
      2 リンク	で
      2 ホーム	読み物
      2 ビデオ	ワールド
      2 ニュース	サイト
      2 ニュース	TV
      2 ジャンル	ホーム
      2 サイト	内
      2 ウィンドウ	を
      2 を	開き
      2 を	検索
      2 を	布告
      2 を	公式
      2 を	働い
      2 ら	が
      2 は	数
      2 は	外部
      2 の	記者
      2 の	暴力
      2 の	中心
      2 の	サイト
      2 に対し	頭
      2 に	謝罪
      2 に	でき
      2 ない	と
      2 と	軍
      2 と	なっ
      2 でき	ない
      2 で	新しい
      2 で	国民
      2 で	は
      2 で	の
      2 た	こと
      2 た	Image
      2 する	抗議
      2 さらに	読む
      2 こと	を
      2 こちら	は
      2 が	女性
      2 が	光州
      2 with	Line
      2 with	Email
      2 Weather	Radio
      2 Twitter	Share
      2 Twitter	Facebook
      2 TV	BBC
      2 Sport	Weather
      2 Radio	Arts
      2 News	Sport
      2 Mixi	Line
      2 Messenger	Messenger
      2 Messenger	Hatena
      2 Line	Share
      2 Image	copyright
      2 Image	caption
      2 Hatena	Mixi
      2 Facebook	Messenger
      2 Email	Twitter
      2 Email	Share
      2 BBC	ニュース
      2 BBC	の
      2 BBC	News
      2 2018	年
      2 200	人
      1 首相	も
